,Name,L1D,IPC,L1D Hits,L1D Access,L1D Accuracy,Prefetch Access,Prefetch Accuracy,Prefetch Hits
0,perlbench_s-570B,bingo_dpc3,1.39557,3717523,3718403,0.9997633392615055,322,0.35714285714285715,115
1,perlbench_s-570B,ipcp,1.39854,4063456,4065826,0.999417092615375,347614,0.9947096492086049,345775
2,mcf_s-994B,bingo_dpc3,0.419473,3552437,3889633,0.9133090448379063,95588,0.44626940620161526,42658
3,omnetpp_s-141B,ipcp,0.32368,5281425,5682732,0.9293813257426181,1386596,0.8369200545797045,1160470
4,xz_s-2302B,bingo_dpc3,0.816899,2353028,2436207,0.9658571705934677,52829,0.5976830907266842,31575
5,omnetpp_s-141B,ipcp,0.320996,5271130,5672402,0.92925889244098,1384167,0.8366837238570202,1158110
6,mcf_s-994B,no,0.406337,3468779,3785587,0.9163120541147252,0,0.0,0
7,leela_s-1083B,no,0.753105,3060000,3086592,0.9913846728041802,0,0.0,0
8,leela_s-1083B,ipcp,0.763613,4102218,4155311,0.987222857687427,1066343,0.9659077801420368,1029989
9,mcf_s-994B,bingo_dpc3,0.387283,3551772,3888982,0.9132909332056564,93322,0.4480936970917897,41817
10,perlbench_s-570B,bingo_dpc3,1.40045,3717592,3718472,0.9997633436529844,322,0.35714285714285715,115
11,leela_s-1083B,ipcp,0.763223,4099383,4152456,0.9872188892549373,1063503,0.9658722166275037,1027208
12,xz_s-2302B,ipcp,0.811273,2792362,2944734,0.9482561073428024,562496,0.8435171094550006,474475
13,leela_s-1083B,bingo_dpc3,0.764223,3088472,3118988,0.9902160572595983,27639,0.35507796953580084,9814
14,perlbench_s-570B,no,1.39017,3717300,3718076,0.9997912899037029,0,0.0,0
15,leela_s-1083B,bingo_dpc3,0.763047,3088706,3119210,0.9902206007290307,27881,0.3591693267816793,10014
16,omnetpp_s-141B,no,0.309583,4070438,4258257,0.9558929862617498,0,0.0,0
17,xz_s-2302B,bingo_dpc3,0.798813,2352315,2435669,0.9657777801499301,53485,0.6016827147798448,32181
18,perlbench_s-570B,ipcp,1.3997,4063496,4065866,0.9994170983500194,347647,0.9947072749081683,345807
19,mcf_s-994B,ipcp,0.382881,3891684,4405029,0.8834638773093207,609990,0.6604272201183626,402854
20,mcf_s-994B,ipcp,0.39448,3890277,4400265,0.8841006166674052,605616,0.6636631132598875,401925
21,xz_s-2302B,ipcp,0.818469,2791825,2944096,0.9482792001347782,561264,0.8433892072179937,473364
22,omnetpp_s-141B,bingo_dpc3,0.343567,4197054,4456818,0.9417153673315806,144990,0.29822056693565074,43239
23,omnetpp_s-141B,bingo_dpc3,0.339872,4195143,4454738,0.9417260902885871,145096,0.2982990571759387,43282
24,xz_s-2302B,no,0.819729,2317512,2383082,0.9724852103284738,0,0.0,0
